City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mizan teferi,6.9833,35.5833,20.1,75,40,0.95,ET,2023-08-23
1,shangrao,28.4532,117.9686,29.5,77,46,2.04,CN,2023-08-23
2,kodiak,57.79,-152.4072,12.73,94,100,0.0,US,2023-08-23
3,iqaluit,63.7506,-68.5145,6.5,93,100,11.62,CA,2023-08-23
4,torbay,47.6666,-52.7314,16.53,97,100,1.31,CA,2023-08-23
5,bethel,41.3712,-73.414,18.69,83,40,2.06,US,2023-08-23
6,ushuaia,-54.8,-68.3,-2.78,94,99,2.18,AR,2023-08-23
7,mahebourg,-20.4081,57.7,24.58,80,54,8.76,MU,2023-08-23
8,buala,-8.145,159.5921,28.62,73,32,4.43,SB,2023-08-23
9,matay,28.419,30.7792,26.71,55,0,5.92,EG,2023-08-23
10,puerto ayora,-0.7393,-90.3518,24.19,93,60,2.24,EC,2023-08-23
11,pevek,69.7008,170.3133,0.84,80,82,3.54,RU,2023-08-23
12,quelimane,-17.8786,36.8883,20.59,77,0,2.91,MZ,2023-08-23
13,punta arenas,-53.15,-70.9167,1.21,79,51,7.53,CL,2023-08-23
14,dingle,10.9995,122.6711,28.51,81,95,2.93,PH,2023-08-23
15,mar del plata,-38.0023,-57.5575,10.07,74,96,4.92,AR,2023-08-23
16,lazaro cardenas,17.9583,-102.2,27.36,83,96,1.68,MX,2023-08-23
17,biak,-0.9131,122.8766,27.83,70,71,4.17,ID,2023-08-23
18,port hardy,50.6996,-127.4199,13.2,90,100,1.6,CA,2023-08-23
19,venice,27.0998,-82.4543,28.32,85,0,3.09,US,2023-08-23
20,bredasdorp,-34.5322,20.0403,9.91,72,5,7.57,ZA,2023-08-23
21,arraial do cabo,-22.9661,-42.0278,21.44,87,25,10.13,BR,2023-08-23
22,khatanga,71.9667,102.5,14.5,42,65,7.16,RU,2023-08-23
23,new norfolk,-42.7826,147.0587,14.72,80,94,1.81,AU,2023-08-23
24,avarua,-21.2078,-159.775,23.03,73,75,2.57,CK,2023-08-23
25,lebu,-37.6167,-73.65,8.71,81,90,2.33,CL,2023-08-23
26,lompoc,34.6391,-120.4579,18.9,85,100,5.36,US,2023-08-23
27,saint-augustin,51.226,-58.6502,12.41,74,91,1.35,CA,2023-08-23
28,sur,22.5667,59.5289,32.81,51,53,3.49,OM,2023-08-23
29,cape town,-33.9258,18.4232,12.27,65,20,3.6,ZA,2023-08-23
30,upernavik,72.7868,-56.1549,8.62,88,30,1.88,GL,2023-08-23
31,mataura,-46.1927,168.8643,14.71,74,98,1.1,NZ,2023-08-23
32,tuatapere,-46.1333,167.6833,12.52,81,98,2.07,NZ,2023-08-23
33,doha,25.2867,51.5333,36.99,44,0,2.57,QA,2023-08-23
34,faanui,-16.4833,-151.75,24.65,63,2,5.09,PF,2023-08-23
35,pacific grove,36.6177,-121.9166,19.89,89,0,0.89,US,2023-08-23
